Pass;SummitElevation;Lat;Lng
"Ahornboden";"1203";"47.4021";"11.56685"
"Alpl";"1081";"47.510592";"15.638179"
"Annaberg";"976";"47.871391";"15.377804"
"Arlberg-Pass";"1793";"47.129845";"10.21063"
"Bartholomäberg";"1082";"47.10016";"9.94514"
"Brandner Tal";"1565";"47.067191";"9.754776"
"Brenner";"1370";"47.005953";"11.505518"
"Buchauer Sattel";"861";"47.613569";"14.51808"
"Burgruine Finkenstein";"806";"46.546407";"13.903249"
"Dachsteinstraße";"1703";"47.450485";"13.617967"
"Dientner Sattel";"1357";"47.39154";"13.05752"
"Dünserberg / Walgau-Höhenstraße";"1113";"47.22723";"9.72339"
"Ebnit / Dornbirner Achetal";"1080";"47.345395";"9.742475"
"Edelschrott";"800";"47.01974";"15.05415"
"Egger Alm";"1416";"46.585738";"13.380317"
"Emberger Alm";"1755";"46.77511";"13.15802"
"Enzingerboden";"1483";"47.171909";"12.62723"
"Falkertseestraße";"1872";"46.864416";"13.828869"
"Faschinajoch";"1514";"47.273056";"9.907522"
"Faschingalm";"1662";"46.858806";"12.811486"
"Feistritzsattel";"1286";"47.567466";"15.865484"
"Fernpass";"1210";"47.363919";"10.83494"
"Filzensattel";"1291";"47.397252";"13.000972"
"Flattnitzer Sattel";"1400";"46.937605";"14.048767"
"Flexen-Pass";"1773";"47.158323";"10.164843"
"Furkajoch";"1760";"47.269329";"9.833106"
"Gaberl";"1551";"47.110209";"14.91806"
"Gaicht-Pass";"1082";"47.453";"10.624626"
"Gailbergsattel";"982";"46.718092";"12.967"
"Gerlitzen Alpenstraße";"1906";"46.69487";"13.92346"
"Gerlitzen Gipfelstraße";"1911";"46.696088";"13.911431"
"Gerlos Alpenstraße";"1628";"47.21469";"12.17053"
"Gerlos-Pass";"1531";"47.243114";"12.111097"
"Gesäuse";"600";"47.59162";"14.63504"
"Goggausee";"780";"46.79896";"14.15125"
"Goldeck Panoramastraße";"1883";"46.75172";"13.46093"
"Gosausee-Bergstraße";"915";"47.53298";"13.4973"
"Grießen-Pass";"975";"47.466353";"12.62734"
"Griffner Berg";"708";"46.7309";"14.7545"
"Großalmstraße";"829";"47.84456";"13.620129"
"Großarltal";"1038";"47.14837";"13.28721"
"Großglockner Hochalpenstraße / Edelweißspitze";"2571";"47.12379";"12.831"
"Großglockner Hochalpenstraße / Fuscher Törl";"2428";"47.11755";"12.82784"
"Großglockner Hochalpenstraße / Hochtor";"2505";"47.08269";"12.842589"
"Gschütt-Pass";"969";"47.591318";"13.506145"
"Hahntennjoch";"1894";"47.28735";"10.6555"
"Hals";"830";"47.694064";"15.170509"
"Hammerbichl";"786";"48.500405";"14.383839"
"Hebalm";"1420";"46.912857";"15.030571"
"Hengst-Pass";"987";"47.702496";"14.460015"
"Hinterberg";"980";"47.5245";"11.846"
"Hirschbichlpass";"990";"47.53816";"12.7952"
"Hirschegger Sattel";"1543";"47.0685";"14.87188"
"Hochberg";"1026";"47.5411";"9.80525"
"Hocheggersattel";"1318";"47.22847";"14.35689"
"Hochficht";"930";"48.737526";"13.89939"
"Hochkar";"1491";"47.719984";"14.91806"
"Hochobir Alpenstraße";"1533";"46.50157";"14.51036"
"Hochrindl";"1617";"46.859952";"13.99416"
"Hochsteinhütte";"1982";"46.8208";"12.69756"
"Hochtannberg-Pass";"1675";"47.269524";"10.13063"
"Hochwechsel";"1743";"47.52994";"15.91398"
"Holzleitensattel";"1119";"47.30533";"10.89341"
"Höllental";"550";"47.746069";"15.770089"
"Iselsberg-Pass";"1209";"46.854249";"12.858124"
"Jochalm";"1554";"46.66609";"13.1682"
"Josefsberg";"1012";"47.845308";"15.31423"
"Kaiserau";"1094";"47.528432";"14.466755"
"Kaiserhaus / Kaiserklamm";"720";"47.53687";"11.91385"
"Kaisertal";"1530";"47.216159";"10.301593"
"Kalbling Höhenstraße";"1486";"47.539376";"14.513379"
"Kalser Glocknerstraße";"1968";"47.021626";"12.688882"
"Kalte Kuchl";"730";"47.88716";"15.68362"
"Karawanken-Tunnel";"610";"46.48139";"14.0073"
"Kartitscher Sattel";"1525";"46.71794";"12.541032"
"Kasern";"1610";"47.10672";"11.60916"
"Katschberg-Pass";"1641";"47.060533";"13.614807"
