Pass;SummitElevation;Lat;Lng
"Aelggialp";"1641";"46.799887";"8.23561"
"Albispass";"791";"47.27601";"8.52123"
"Albulapass";"2315";"46.582566";"9.8383"
"Alp Sellamatt";"1385";"47.182757";"9.2967"
"Alpage de Loutze";"1722";"46.21224";"7.166262"
"Alpage de Recon";"1590";"46.305398";"6.836629"
"Alpe di Cava";"2005";"46.359762";"9.03367"
"Alpe di Neggia";"1395";"46.110672";"8.84544"
"Alpe Foppa";"2004";"46.60577";"9.53163"
"Arosa Obersee";"1734";"46.7835";"9.67955"
"Arosio";"859";"46.04788";"8.89603"
"Benkerjoch";"674";"47.435436";"8.030087"
"Berninapass";"2323";"46.410926";"10.02762"
"Bosco Gurin";"1506";"46.31687";"8.49127"
"Brünigpass";"1005";"46.756863";"8.1369857"
"Bözbergpass";"569";"47.480931";"8.138738"
"Bürgenstock-Panoramastraße";"881";"46.9939";"8.39961"
"Cabane des Martinaux";"1720";"46.214927";"7.050894"
"Col de Bellegarde";"1508";"46.592159";"7.33908"
"Col de Champex";"1498";"46.031811";"7.106786"
"Col de Chaude";"1621";"46.421771";"6.99767"
"Col de la Croix";"1778";"46.324689";"7.126722"
"Col de la Croix";"1778";"46.324689";"7.126722"
"Col de la Croix de Coeur";"2174";"46.12167";"7.23235"
"Col de la Forclaz";"1527";"46.057748";"7.001349"
"Col de la Givrine";"1228";"46.455583";"6.087031"
"Col de la Gueulaz";"1960";"46.06854";"6.93722"
"Col de la Pierre du Moëllé";"1661";"46.39167";"7.04619"
"Col de l’Aiguillon";"1324";"46.791752";"6.466245"
"Col de Pierre Pertuis";"827";"47.210012";"7.194245"
"Col des Etroits";"1152";"46.829865";"6.495047"
"Col des Mosses";"1445";"46.398971";"7.1026343"
"Col des Planches";"1410";"46.096994";"7.12418"
"Col des Pontins";"1110";"47.132578";"6.996693"
"Col des Rangiers";"856";"47.384841";"7.21928"
"Col du Chasseral";"1502";"47.119423";"7.0322992"
"Col du Jaman";"1512";"46.45147";"6.97726"
"Col du Lein, Pas du Lin";"1658";"46.109865";"7.159016"
"Col du Marchairuz";"1447";"46.55381";"6.25043"
"Col du Mollendruz";"1180";"46.649899";"6.3659"
"Col du Mont Crosin";"1227";"47.1906";"7.039919"
"Col du Mont d'Orzeires";"1060";"46.685256";"6.3369714"
"Col du Pillon";"1546";"46.353418";"7.204599"
"Col du Sénin";"2252";"46.33157";"7.28623"
