Pass;SummitElevation;Lat;Lng
"Achen-Pass";"941";"47.605005";"11.635894"
"Achtal / Engetal";"1120";"47.53661";"10.52133"
"Aeulemer Kreuz-Pass";"1138";"47.827073";"8.087792"
"Alpe Dornach";"1000";"47.399401";"10.222842"
"Ammersattel/Planseestraße";"1118";"47.5346";"10.8736"
"Auerberg";"1055";"47.73574";"10.73665"
"Aussichtskapelle Samerberg";"750";"47.78288";"12.20541"
"Bretterschachten";"1120";"49.074042";"13.156591"
"Eibsee";"975";"47.45723";"10.99048"
"Ettaler Bergstraße";"869";"47.561777";"11.101129"
"Falkenstein (Burgruine)";"1277";"47.570236";"10.591679"
"Feldberg";"1232";"47.85651";"8.02762"
"Feldberg (Taunus)";"878";"50.232";"8.45744"
"Freiersberger Hütte - Hundskopf";"755";"48.41335";"8.24497"
"Gersbacher Hörnle";"960";"47.707729";"7.916358"
"Großer Arbersee";"935";"49.098919";"13.158992"
"Hafner Alm";"1100";"47.6521";"11.83988"
"Hahnenklee-Pass";"550";"51.8582";"10.3157"
"Hintersee";"790";"47.60764";"12.85203"
"Hochschwarzeck / Gseng";"1043";"47.62636";"12.9046"
"Höllritzer Alpe";"1443";"47.47519";"10.15188"
"Kandel-Pass";"1241";"48.064544";"8.016071"
"Kesselberg";"858";"47.628";"11.3552"
"Kittelhütte";"578";"50.25308";"8.41072"
"Kreuzfeld / Hornbergbecken";"999";"47.656243";"7.96564"
"Kreuzweg-Pass";"1079";"47.800361";"7.777846"
"Kälbelescheuer";"976";"47.8072";"7.76862"
"Lochen-Pass";"884";"48.21811";"8.85276"
"Maserer-Pass";"793";"47.690829";"12.497313"
"Notschrei-Pass";"1121";"47.87552";"7.91094"
"Oberjoch-Pass (Oberjoch)";"1178";"47.52419";"10.43901"
"Oker Stausee";"415";"51.851696";"10.45676"
"Ravensberg";"659";"51.621381";"10.526952"
"Riedberg-Pass";"1407";"47.43712";"10.17701"
"Rohrachschlucht";"773";"47.59266";"9.81577"
"Rossfeld Panoramastraße";"1560";"47.626529";"13.092163"
"Rotes Kreuz-Pass";"1090";"47.771836";"8.019665"
"Scharnitz-Pass";"960";"47.3975";"11.2672"
"Schauinsland";"1284";"47.908288";"7.892132"
"Scheibensattel";"1050";"49.158438";"13.15827"
"Scheidegger Wasserfälle";"702";"47.58941";"9.84194"
"Scheidwangalpe";"1313";"47.488982";"10.107075"
"Schierke Stern";"635";"51.757016";"10.684311"
"Schloss Valley";"650";"47.89332";"11.7797"
"Schwarza-Tal";"520";"47.686099";"8.259773"
"Schwarzbachwachtsattel";"868";"47.63568";"12.85829"
"Schwarzwaldhochstraße";"1044";"48.59622";"8.2017"
"Sieberberg-Pass";"520";"51.701527";"10.491174"
"Sonnenberg";"815";"51.754652";"10.520332"
"Spitzingsattel";"1127";"47.6723";"11.8864"
"St.-Antoni-Pass";"1051";"47.744904";"7.975366"
"Stein-Pass";"615";"47.671181";"12.757358"
"Sudelfeld-Pass";"1123";"47.678808";"12.035548"
"Tatzelwurm";"792";"47.679847";"12.082252"
"Tiergrüble-Pass";"1068";"47.776966";"7.945218"
"Torfhaus";"807";"51.802565";"10.536522"
"Ursprung-Pass";"840";"47.61646";"12.021663"
"Vorderrißstraße";"898";"47.529951";"11.302991"
"Walchenseestraße";"820";"47.58635";"11.39486"
"Wallbergmoos-Alm";"1117";"47.6613";"11.77215"
"Wechselpass";"1031";"47.64474";"11.842895"
"Wiedener Eck";"1035";"47.84484";"7.86701"
"Winklmoosalm";"1210";"47.65681";"12.58456"
"Wispertal";"484";"50.0833";"7.87819"
"Wutach-Schlucht";"670";"47.842546";"8.319504"
