Pass;SummitElevation;Lat;Lng
"Alto de Velefique";"1860";"37.225733";"-2.411365"
"Bosc de Can Ginebreda";"325";"42.122363";"2.709299"
"Calar Alto";"2170";"37.222008";"-2.546768"
"Cartoixa d'Escaladei";"460";"41.25521";"0.810735"
"Col deth Portilhon";"1293";"42.7691";"0.660098"
"Coll d'Alforja";"641";"41.221436";"0.934293"
"Coll de la Teixeta";"541";"41.173399";"0.901663"
"Coll de les Masies";"981";"41.342562";"1.004196"
"Coll de Sant Marçal";"1107";"41.80439";"2.41836"
"Coll de Sant Roc";"1020";"41.306954";"1.002212"
"Coll d’Ares";"1513";"42.366988";"2.456301"
"Coll Formic";"1142";"41.8009911";"2.34742"
"Collado del Ramal";"1694";"37.268973";"-2.496823"
"La Mare de Déu de Puigcerver";"787";"41.193095";"0.936552"
"La Piedra de San Martín";"1760";"42.968863";"-0.769062"
"Mirador de Igualeja";"1130";"36.639696";"-5.09043"
"Mirador De La Granatilla";"181";"37.044581";"-1.872298"
"Mirador de La Mussara";"993";"41.252113";"1.028359"
"Mirador del Priorat";"765";"41.326811";"0.852261"
"Pico del Veleta";"2550";"37.093988";"-3.384427"
"Pla de la Mola";"840";"41.23979";"1.06178"
"Port de la Bonaigua";"2072";"42.663513";"0.9824531"
"Puerto de la Bolina";"781";"36.801162";"-4.322644"
"Puerto de la Ragua";"2040";"37.113363";"-3.029856"
"Puerto de la Virgen";"1070";"37.214234";"-2.195778"
"Puerto de Larrau";"1573";"42.974168";"-0.993607"
"Puerto de las Atalayas";"392";"36.914064";"-4.806432"
"Puerto de las Palomas";"1185";"36.787604";"-5.37668"
"Puerto de Portalet";"1794";"42.805909";"-0.418468"
"Puerto de Santillana";"1227";"37.082351";"-2.731736"
"Puerto de Somport";"1632";"42.7957";"-0.52625"
"Puerto del León";"925";"36.811612";"-4.369032"
"Puerto del Viento";"1068";"36.788876";"-5.048571"
"Puerto d’Izpeguy";"672";"43.175691";"-1.402043"
"Pànta de Susqueda";"350";"41.977518";"2.523594"
"Siurana";"720";"41.258453";"0.93601"
"Trevélez";"1480";"36.998907";"-3.264726"
