Pass;SummitElevation;Lat;Lng
"Ainac-Lambert";"1120";"44.215716";"6.213987"
"Ballon d'Alsace";"1247";"47.81972";"6.84039"
"Calanques de Piana";"450";"42.24641";"8.654303"
"Cascades des Tufs";"380";"46.68964";"5.63746"
"Circuit de la découverte de l'Authion";"2026";"43.983556";"7.437802"
"Cirque de Troumouse";"2103";"42.72807";"0.09638"
"Col Bayard";"1246";"44.613822";"6.081142"
"Col Burdin Olatze";"892";"43.091339";"-1.022548"
"Col d'Andrion";"1691";"43.99862";"7.23611"
"Col d'Arcarota";"820";"42.350312";"9.383349"
"Col d'Aulac";"1242";"45.191285";"2.589837"
"Col d'Ayen";"1032";"43.768992";"6.315457"
"Col d'Erroymendi";"1362";"42.997433";"-0.986071"
"Col d'Ey";"718";"44.312698";"5.277679"
"Col d'Oderen";"884";"47.922679";"6.917357"
"Col de Annes";"1724";"45.970571";"6.523583"
"Col de Bagargui";"1327";"43.03814";"-1.026943"
"Col de Battaglia";"1101";"42.549554";"9.005001"
"Col de Bavella";"1218";"41.795869";"9.224957"
"Col de Belle Roche";"1056";"46.034374";"5.674168"
"Col de Berentin";"1135";"46.11835";"5.6838"
"Col de Berthiand";"780";"46.172914";"5.49449"
"Col de Bigorno";"885";"42.537894";"9.296255"
"Col de Bleine";"1439";"43.815099";"6.803867"
"Col de Bouezou";"1009";"43.003329";"-0.674801"
"Col de Braus";"1002";"43.872639";"7.398934"
"Col de Brouis";"879";"43.9243";"7.47649"
"Col de Burdincurucheta";"1135";"43.062599";"-1.087108"
"Col de Bussang";"731";"47.889514";"6.897413"
"Col de Cabre";"1180";"44.549597";"5.598327"
"Col de Carabes";"1261";"44.500638";"5.653976"
"Col de Carri";"1202";"44.94419";"5.362352"
"Col de Castillon";"706";"43.839464";"7.4602"
"Col de Chansert";"1236";"45.644504";"3.778507"
"Col de Chaussy";"1532";"45.343653";"6.356579"
"Col de Chioula";"1431";"42.756361";"1.841085"
"Col de Col de Saint-Raphaël";"875";"43.937772";"6.932536"
"Col de Coperlac";"903";"44.320808";"3.381144"
"Col de Coq";"1434";"45.30246";"5.836774"
"Col de Corobin";"1211";"44.007828";"6.320206"
"Col de Creu";"1712";"42.602776";"2.137991"
"Col de Cucheron";"1139";"45.365364";"5.834084"
"Col de Cuvillat";"1073";"46.032152";"5.621996"
"Col de Cuvéry";"1178";"46.115131";"5.7254985"
"Col de Cyclotouristes";"1330";"45.682179";"6.435594"
"Col de Cère";"1294";"45.0808";"2.739163"
"Col de Escrinet";"787";"44.71831";"4.49292"
"Col de Festre";"1441";"44.66518";"5.855299"
"Col de Finiels";"1541";"44.424097";"3.768525"
"Col de Gradello";"529";"41.792629";"8.823206"
"Col de Grimone";"1318";"44.69137";"5.65406"
"Col de Guéry";"1268";"45.620896";"2.820643"
"Col de Joux Plane";"1712";"46.12959";"6.712903"
"Col de l'Ablé";"1149";"43.893596";"7.382391"
"Col de l'Asclier";"905";"44.077428";"3.7443432"
"Col de l'Homme Mort";"1213";"44.157069";"5.497698"
"Col de l'Orme";"1005";"43.900508";"7.36238"
"Col de la Bataille";"1313";"44.897794";"5.233788"
"Col de la Berche";"864";"45.99457";"5.5512"
"Col de la Biche";"1325";"45.95247";"5.749004"
"Col de la Bonette";"2715";"44.326647";"6.807513"
"Col de la Cayolle";"2327";"44.25938";"6.74389"
"Col de la Chau";"1337";"44.907317";"5.35662"
"Col de la Chavade";"1266";"44.697205";"4.021386"
"Col de la Cheminée";"925";"46.05809";"5.65605"
"Col de la Colombière";"1613";"45.992143";"6.475399"
"Col de la Core";"1395";"42.858953";"1.10496"
"Col de la Couillole";"1678";"44.100249";"7.023"
"Col de la Croix";"260";"42.326357";"8.632306"
"Col de la Croix de Boutières";"1502";"44.899383";"4.185133"
"Col de la Croix de Fer";"2067";"45.22749";"6.203331"
"Col de la Croix de la Serra";"1049";"46.288641";"5.799544"
"Col de la Croix de Millet";"764";"44.60687";"4.2424"
"Col de la Croix de Peccata";"1569";"44.915343";"4.178925"
"Col de la Croix de Toutes Aures";"860";"44.606663";"4.019773"
"Col de la Croix Haute";"1183";"44.724551";"5.677679"
"Col de la Croix Morand";"1401";"45.597081";"2.850818"
"Col de la Croix Saint-Robert";"1451";"45.563953";"2.836965"
"Col de la Croix-Fry";"1467";"45.876571";"6.401403"
"Col de la Faucille";"1323";"46.3693";"6.01964"
"Col de la Fayolle";"877";"44.75489";"4.44346"
"Col de la Geneste";"1372";"45.496754";"2.819599"
"Col de la Givrine";"1228";"46.455583";"6.087031"
"Col de la Haute Beaume";"1268";"44.571009";"5.631075"
"Col de la Joux Verte";"1760";"46.19998";"6.75922"
"Col de la Llose";"1866";"42.535754";"2.141991"
"Col de la Lombarde";"2350";"44.2026";"7.15011"
"Col de la Lusette";"1351";"44.067994";"3.591426"
"Col de la Lèbe";"914";"45.919051";"5.619527"
"Col de la Machine";"1011";"44.974666";"5.334684"
"Col de la Madeleine";"2001";"45.434948";"6.375575"
"Col de la Madone";"1165";"43.97895";"7.05317"
"Col de la Moreno";"1065";"45.741559";"2.948904"
"Col de la Moutière";"2454";"44.31517";"6.79664"
"Col de la Pierre St. Martin";"1760";"42.968863";"-0.769062"
"Col de la Portette";"1175";"44.95666";"5.29463"
"Col de la Quillane";"1714";"42.548775";"2.1137"
"Col de la Ramaz";"1619";"46.159322";"6.58064"
"Col de la Restefond";"2656";"44.33686";"6.8013"
"Col de la Rochette";"1112";"45.984086";"5.639507"
"Col de la Savine";"991";"46.564297";"6.00214"
"Col de la Schlucht";"1139";"48.06377";"7.02242"
"Col de la Serra";"361";"42.973503";"9.367124"
"Col de la Serreyrède";"1299";"44.102977";"3.541345"
"Col de la Sinne";"1438";"44.02549";"7.06851"
"Col de Labays";"1351";"43.003266";"-0.674973"
"Col de Landerre";"1072";"43.109067";"-1.069488"
"Col de Larche";"1991";"44.421833";"6.8984272"
"Col de Latrape";"1111";"42.795173";"1.31429"
"Col de Légal";"1231";"45.070593";"2.579223"
"Col de l’Arpettaz";"1581";"45.797064";"6.4333"
"Col de l’Echarasson";"1146";"44.9796";"5.32498"
"Col de l’Echelle";"1762";"45.026483";"6.6569896"
"Col de l’Encrenaz";"1432";"46.1727";"6.6336742"
"Col de l’Epine près Marlens";"1014";"45.581279";"5.823047"
"Col de l’Espaul";"1748";"44.110761";"6.958294"
"Col de l’Isèran";"2770";"45.41723";"7.0307"
"Col de Magnard";"1172";"46.375175";"5.9575195"
"Col de Manse";"1286";"44.61183";"6.13375"
"Col de Marie-Blanque";"1035";"43.070473";"-0.507434"
"Col de Maure";"1346";"44.31886";"6.40239"
"Col de Mens";"1117";"44.760304";"5.771526"
"Col de Menté";"1349";"42.919402";"0.762112"
"Col de Menée";"1402";"44.757764";"5.603769"
"Col de Meyrand";"1370";"44.607046";"4.074292"
"Col de Montmirat";"1046";"44.418763";"3.543574"
"Col de Montratier";"500";"46.055652";"5.4624796"
"Col de Morello";"824";"42.187381";"9.193322"
"Col de Moulata";"1680";"42.967352";"0.009184"
"Col de Néronne";"1242";"45.154903";"2.592142"
"Col de Pailheres";"2001";"42.733647";"1.992704"
"Col de Palmarella";"408";"42.363879";"8.648325"
"Col de Palomère";"1036";"42.535309";"2.565662"
"Col de Pas de la Graille";"1597";"44.11513";"5.83307"
"Col de Pennes";"1040";"44.644688";"5.342638"
"Col de Perjuret";"1031";"44.204433";"3.514639"
"Col de Perty";"1303";"44.28721";"5.549752"
"Col de Peyresourde";"1569";"42.802207";"0.461929"
"Col de Pierre Carrée";"1843";"46.01187";"6.678261"
"Col de Pinpinier";"1130";"43.8387";"6.82823"
"Col de Plantara";"1002";"44.536481";"5.30158"
"Col de Port";"1249";"42.898855";"1.45294"
"Col de Portet d’Aspet";"1069";"42.944788";"0.853742"
"Col de Pratazanier";"1049";"44.62562";"3.9906"
"Col de Prato";"985";"42.427512";"9.331446"
"Col de Puymorens";"1915";"42.559656";"1.811371"
"Col de Raspaillon";"2513";"44.340551";"6.832034"
"Col de Richemond";"1060";"46.00825";"5.748413"
"Col de Rieisse";"946";"44.284846";"3.317044"
"Col de Rousset";"1254";"44.83811";"5.39707"
"Col de Saint-Eustache";"995";"41.773876";"9.021006"
"Col de Saint-Ignace";"169";"43.327146";"-1.6015064"
"Col de Saint-Jean";"1333";"44.41497";"6.3507"
"Col de Saint-Jean";"1158";"44.262205";"5.621932"
"Col de Sainte Lucie";"381";"42.908937";"9.374295"
"Col de Sainte-Marie";"772";"48.243618";"7.134097"
"Col de San Colombano";"692";"42.579509";"9.06996"
"Col de Santo Stefano";"368";"42.600534";"9.359702"
"Col de Sarenne";"1999";"45.08751";"6.14905"
"Col de Scalella";"1193";"42.041911";"9.035245"
"Col de Serre";"1335";"45.130583";"2.701805"
"Col de Sevi";"1103";"42.223501";"8.829892"
"Col de Siu";"731";"41.736545";"9.026261"
"Col de Sorba";"1311";"42.144146";"9.190346"
"Col de Soubeyrand";"990";"44.371792";"5.353885"
"Col de sur la Semine";"1190";"46.278236";"5.835047"
"Col de Tartavello";"885";"42.073998";"8.905459"
"Col de Teghime";"536";"42.677122";"9.382757"
"Col de Tende";"1871";"44.14958";"7.56181"
"Col de Tourniol";"1254";"44.918471";"5.184404"
"Col de Toutes Aures";"1124";"43.91945";"6.61388"
"Col de Tramassel";"1635";"42.971106";"-0.003019"
"Col de Trébuchet";"1143";"43.918451";"6.832412"
"Col de Turini";"1607";"43.977528";"7.391612"
"Col de Vaccia";"1191";"41.822969";"9.084147"
"Col de Val Louron-Azet";"1580";"42.791882";"0.380881"
"Col de Valbelle";"2372";"44.59683";"6.637972"
"Col de Valberg";"1672";"44.089586";"6.919319"
"Col de Valouse";"735";"44.461813";"5.175955"
"Col de Vars";"2109";"44.538726";"6.70287"
"Col de Vegautier";"1099";"43.90485";"7.07011"
"Col de Vence";"963";"43.760625";"7.075117"
"Col de Vence près Grenoble";"781";"45.23564";"5.750939"
"Col de Verde";"1289";"42.028197";"9.194809"
"Col de Vergio";"1467";"42.290322";"8.878399"
"Col de Vizzavona";"1183";"42.111894";"9.112149"
"Col des Aravis";"1486";"45.872274";"6.464866"
"Col des Bagnelles";"903";"48.192482";"7.113921"
"Col des Caougnous";"947";"42.9064";"1.390285"
"Col des Champs";"2087";"44.17493";"6.69792"
"Col des Croix";"680";"47.85984";"6.74709"
"Col des Fourches";"535";"43.28304";"6.326"
"Col des Gets";"1172";"46.160392";"6.66908"
"Col des Limouches";"1086";"44.88678";"5.15851"
"Col des Montets";"1461";"46.003914";"6.923633"
"Col des Roustans";"1030";"44.539821";"5.368913"
"Col des Saisies";"1650";"45.761767";"6.533325"
"Col des Supeyres";"1366";"45.5924";"3.846"
"Col des Tempêtes";"1841";"44.174145";"5.283752"
"Col des Tentes";"2208";"42.713769";"-0.050632"
"Col des Tourettes";"1126";"44.432063";"5.570367"
"Col des Tribes";"1131";"44.480337";"3.759636"
"Col du Bonhomme";"949";"48.164622";"7.080004"
"Col du Bramont";"956";"48.000511";"6.9454"
"Col du Béal";"1390";"45.685236";"3.78281"
"Col du Calvaire";"1134";"48.136702";"7.086614"
"Col du Donon";"727";"48.506824";"7.146091"
"Col du Fanget";"1459";"44.32792";"6.32735"
"Col du Fau";"899";"44.905914";"5.626197"
"Col du Furfande";"2500";"44.73516";"6.710854"
"Col du Galibier";"2642";"45.06414";"6.407862"
"Col du Gerbier de Jong";"1417";"44.84114";"4.22243"
"Col du Glandon";"1924";"45.239606";"6.175535"
"Col du Goulet";"1452";"44.535854";"3.752582"
"Col du Grand Ballon";"1343";"47.90472";"7.10336"
"Col du Grand Colombier";"1501";"45.903459";"5.761663"
"Col du Granier";"1134";"45.480382";"5.914917"
"Col du Granon";"2413";"44.962784";"6.610906"
"Col du Hantz";"637";"48.40273";"7.08901"
"Col du Haut de la Côte";"953";"48.05106";"6.86539"
