Pass;SummitElevation;Lat;Lng
"Alpe Camasca";"1230";"45.88227";"8.34223"
"Alpe di Noveis";"1125";"45.713896";"8.188248"
"Alpe Giumello";"1540";"46.045223";"9.360502"
"Altopiano di Montásio";"1502";"46.41012";"13.43739"
"Bocchetta degli Alpini";"1496";"45.875428";"11.298245"
"Bocchetta di Séssera";"1382";"45.663875";"8.062721"
"Castel Belfort";"710";"46.20401";"11.04044"
"Cima di Sappada";"1292";"46.5689";"12.7213"
"Cinque Torri";"2137";"46.50809";"12.05477"
"Col Carette di Val Bighera";"2130";"46.255727";"10.362578"
"Col de Maurin";"2637";"44.49725";"6.9192"
"Col Sant’Angelo";"1757";"46.581726";"12.251757"
"Col Vidàl";"1880";"46.516594";"12.431025"
"Colla d'Oggia";"1157";"43.982426";"7.869756"
"Colla di Praglia";"880";"44.51671";"8.81781"
"Colla Tre Faggi";"970";"43.934545";"11.68568"
"Colle Balestrino";"653";"44.124484";"8.172594"
"Colle Bercia / Col de Gimont";"2293";"44.920753";"6.779321"
"Colle de Nivolet";"2612";"45.47921";"7.142321"
"Colle del Colombardo";"1889";"45.187299";"7.311128"
"Colle del Gran San Bernard";"2469";"45.869053";"7.1704088"
"Colle del Prete / Colle del Gilba";"1528";"44.605052";"7.250959"
"Colle del Quasso";"1130";"44.20163";"8.0678"
"Colle della Colma";"1489";"45.640868";"7.986073"
"Colle della Croce Nera";"865";"45.09337";"7.33903"
"Colle della Dieta";"1458";"45.2589";"7.36203"
"Colle della Lombarda";"2350";"44.2026";"7.15011"
"Colle della Maddalena";"1991";"44.421779";"6.898524"
"Colle della Ranzola";"2169";"45.75813";"7.76563"
"Colle delle Finestre";"2176";"45.072031";"7.053339"
"Colle dell’Agnello";"2744";"44.683919";"6.979574"
"Colle dell’Assietta";"2472";"45.070365";"6.957096"
"Colle di Caprauna";"1379";"44.11797";"7.95539"
"Colle di Caprauna";"1379";"44.108218";"7.929747"
"Colle di Joux";"1640";"45.754015";"7.702934"
"Colle di Perascritta";"2154";"45.371038";"7.426605"
"Colle di Sampeyre";"2284";"44.550953";"7.1195782"
"Colle di Sestriere";"2035";"44.959095";"6.882543"
"Colle di Tenda";"1871";"44.14958";"7.56181"
"Colle di Zambla";"1264";"45.887097";"9.797743"
"Colle di Zuccore / Tzecore";"1607";"45.728075";"7.718464"
"Colle d’Esischie";"2370";"44.396685";"7.123878"
"Colle Fauniera";"2481";"44.38563";"7.12178"
"Colle Langan";"1127";"43.96787";"7.7316187"
"Colle Melosa";"1545";"43.989072";"7.683966"
"Colle Moncenisio";"2083";"45.260297";"6.900218"
"Colle San Bernardo";"947";"44.177297";"8.047379"
"Colle San Carlo";"1950";"45.74293";"6.98936"
"Colle San Zeno";"1418";"45.7812";"10.18736"
"Colle Scravaion";"814";"44.159515";"8.12051"
"Colle Sommeiller";"2995";"45.13439";"6.844826"
"Colli di San Fermo";"1197";"45.74234";"9.94201"
"Croce di Praesto";"1513";"43.93916";"7.761626"
"Forca di Presta";"1540";"42.790015";"13.260721"
"Forcella Aurine";"1299";"46.236572";"11.976049"
"Forcella Chiandolada";"1585";"46.39336";"12.209179"
"Forcella di Lavardet";"1542";"46.499794";"12.628652"
"Forcella di Liûs";"1070";"46.538486";"13.084757"
"Forcella di Pala Barzana";"840";"46.19588";"12.658891"
"Forcella Franche";"991";"46.233311";"12.013231"
"Forcella Valbona";"1785";"45.868238";"11.271948"
"Forcella Zovo";"1606";"46.602613";"12.591675"
"Forcola di Livigno";"2315";"46.440968";"10.056189"
"Galleria di Rosazza";"1489";"45.63938";"7.98438"
"Giogo del Maniva";"1664";"45.822634";"10.410105"
"Giogo della Bala";"2136";"45.868305";"10.380723"
"Giogo di Toirano";"807";"44.16883";"8.15988"
"Gomagoi-Suldental";"1929";"46.515993";"10.596311"
"Grange Ciavera";"1930";"44.52014";"6.90442"
"Grotta del Vento";"670";"44.03369";"10.35815"
"Il Colle";"1238";"46.024521";"8.62592"
"Kegelberg-Sattel";"1720";"46.83841";"11.68958"
"La Riposa";"2180";"45.178743";"7.082775"
"Lago di Alpe Gera";"2024";"46.309663";"9.942563"
"Lago di Malciaussiá";"1853";"45.208189";"7.143956"
"Lago di Teleccio";"1971";"45.4559";"7.3881"
"Lago di Tovel";"1178";"46.264903";"10.954712"
"Maira-Stura-Kammstraße";"2455";"44.388156";"7.042891"
"Malga Chiadinis";"1967";"46.56602";"12.89537"
"Malga IIa Posta";"1443";"45.90514";"11.24598"
"Monte Beigua";"1287";"44.433091";"8.565226"
"Monte Bignone";"1299";"43.870736";"7.738758"
"Monte Cavallo Piancavallo";"1280";"46.10962";"12.51929"
"Monte Cesén";"1504";"45.94934";"12.01507"
"Monte Dubasso";"1538";"44.130963";"7.977394"
"Monte Grappa";"1745";"45.873528";"11.802535"
"Monte Matajur";"1642";"46.212135";"13.529491"
"Monte Mottarone";"1436";"45.88011";"8.45068"
"Monte Paularo";"1949";"46.569189";"13.052261"
"Monte Penegal";"1737";"46.43742";"11.21554"
